Region,pre_mean,covid_mean,abs_change
Puducherry,1.5332,52.72571428571428,51.19251428571428
Jharkhand,13.5076,44.07222222222222,30.564622222222223
Tamil Nadu,3.1844,31.73333333333333,28.54893333333333
Bihar,13.7644,36.92777777777778,23.163377777777775
Karnataka,3.2772,19.242222222222225,15.965022222222224
Haryana,23.237199999999998,36.12222222222223,12.88502222222223
Madhya Pradesh,4.4684,16.37666666666667,11.90826666666667
Kerala,7.1896,18.912222222222223,11.722622222222222
Telangana,4.976,15.923333333333334,10.947333333333333
Maharashtra,5.382000000000001,15.342222222222224,9.960222222222225
Delhi,14.8396,24.681111111111115,9.841511111111114
Andhra Pradesh,5.271599999999999,15.10222222222222,9.830622222222221
Uttar Pradesh,10.4296,18.754444444444445,8.324844444444444
Odisha,4.2128,12.237777777777778,8.024977777777778
Goa,7.9941666666666675,15.365,7.370833333333333
West Bengal,6.5548,13.834444444444445,7.279644444444445
Gujarat,5.403200000000001,11.567777777777778,6.164577777777777
Chhattisgarh,7.8088,13.024444444444445,5.215644444444445
Punjab,10.9108,16.026666666666667,5.115866666666667
Rajasthan,12.8472,17.59,4.742799999999999
Meghalaya,3.6388,7.81625,4.17745
Uttarakhand,6.437916666666666,8.517777777777777,2.0798611111111107
Assam,6.209583333333334,6.64375,0.43416666666666615
Sikkim,8.680769230769231,8.15125,-0.5295192307692318
Tripura,29.1404,26.752222222222223,-2.388177777777777
Jammu & Kashmir,17.293809523809525,14.162,-3.1318095238095243
Himachal Pradesh,19.1664,15.002222222222223,-4.164177777777777
Chandigarh,16.78909090909091,7.22,-9.56909090909091
